id,subject,catalog_number,code,academic_group,academic_org,career_level,effective_year,level,department,title
181025,CASCI,395,CASCI 395,CAS,CASCI,UGRD,2023,Advanced Undergraduate,CASCI,CASCI 395
181026,SPHPM,795,SPHPM 795,SPH,SPH,GRAD,2023,Graduate,SPH,SPHPM 795
181027,SPHOM,705S,SPHOM 705S,SPH,SPH,GRAD,2024,Graduate,SPH,SPHOM 705S
181028,CFAMP,115E,CFAMP 115E,CFA,SAB,UGRD,2022,Undergraduate Lower,SAB,CFAMP 115E
181029,ENGME,547E,ENGME 547E,ENG,SAB,UGRD,2023,Graduate,SAB,ENGME 547E
181030,STHMR,709,STHMR 709,STH,STH,GRAD,2023,Graduate,STH,STHMR 709
181031,QSTMS,775,QSTMS 775,QST,QST,GRAD,2023,Graduate,QST,QSTMS 775
181032,QSTMS,776,QSTMS 776,QST,QST,GRAD,2023,Graduate,QST,QSTMS 776
181033,CDSDS,541,CDSDS 541,CDS,CDS,UGRD,2023,Graduate,CDS,CDSDS 541
181034,SARHS,447,SARHS 447,SAR,SAR,UGRD,2024,Advanced Undergraduate,SAR,SARHS 447
181035,METCJ,812S,METCJ 812S,MET,MET,GRAD,2023,Graduate,MET,METCJ 812S
181036,QSTIM,430,QSTIM 430,QST,SAB,UGRD,2023,Advanced Undergraduate,SAB,QSTIM 430
181037,CFAMH,690,CFAMH 690,CFA,CFA,GRAD,2023,Graduate,CFA,CFAMH 690
181038,CASWR,318,CASWR 318,CAS,CASWR,UGRD,2024,Advanced Undergraduate,CASWR,CASWR 318
181039,CDSDS,381,CDSDS 381,CDS,CDS,UGRD,2023,Advanced Undergraduate,CDS,CDSDS 381
181040,STHTF,814,STHTF 814,STH,STH,GRAD,2023,Graduate,STH,STHTF 814
181041,SARHS,433,SARHS 433,SAR,SAR,UGRD,2023,Advanced Undergraduate,SAR,SARHS 433
181042,SPHOM,702S,SPHOM 702S,SPH,SPH,GRAD,2024,Graduate,SPH,SPHOM 702S
102997,CASEC,581,CASEC 581,CAS,CASEC,UGRD,2022,Graduate,CASEC,CASEC 581
103033,CASEE,144S,CASEE 144S,CAS,SUM,UGRD,2023,Undergraduate Lower,SUM,CASEE 144S
103144,CASEE,503,CASEE 503,CAS,CASEE,UGRD,2022,Graduate,CASEE,CASEE 503
103152,CASEE,508,CASEE 508,CAS,CASEE,UGRD,2022,Graduate,CASEE,CASEE 508
109043,CASPS,324,CASPS 324,CAS,CASPS,UGRD,2023,Advanced Undergraduate,CASPS,CASPS 324
109044,CASPS,325S,CASPS 325S,CAS,SUM,UGRD,2023,Advanced Undergraduate,SUM,CASPS 325S
109045,CASPS,325,CASPS 325,CAS,CASPS,UGRD,2023,Advanced Undergraduate,CASPS,CASPS 325
109048,CASPS,326,CASPS 326,CAS,CASPS,UGRD,2023,Advanced Undergraduate,CASPS,CASPS 326
109050,CASPS,327,CASPS 327,CAS,CASPS,UGRD,2023,Advanced Undergraduate,CASPS,CASPS 327
109053,CASPS,329,CASPS 329,CAS,CASPS,UGRD,2023,Advanced Undergraduate,CASPS,CASPS 329
